sample_index,roll_id,die_index,value,held,source,rescued,rescue_kind,escape_recovered,stuck_reroll,stuck_reason,final_align,unsettled_secs,final_x,final_z,final_height,spawn_x,spawn_y,spawn_z,roll_duration_secs
10004,8032,4,2,false,batch,false,,false,false,,1.000,0.000,0.0974,0.0529,0.0214,0.0455,0.0678,0.0471,1.217
10000,8033,0,3,false,batch,false,,false,false,,1.000,0.000,-0.0420,-0.0662,0.0214,-0.0625,0.0687,-0.0623,1.450
10001,8033,1,5,false,batch,false,,false,false,,1.000,0.000,0.0788,-0.0759,0.0214,0.0628,0.0636,-0.0585,1.450
10002,8033,2,4,false,batch,false,,false,false,,1.000,0.000,0.0359,-0.0119,0.0214,-0.0114,0.0900,0.0057,1.450
10003,8033,3,2,false,batch,false,,false,false,,1.000,0.000,-0.0643,0.0928,0.0214,-0.0668,0.0785,0.0502,1.450
10004,8033,4,1,false,batch,false,,false,false,,1.000,0.000,0.0933,0.0645,0.0214,0.0646,0.0822,0.0579,1.450
10000,8034,0,1,false,batch,false,,false,false,,1.000,0.000,-0.0534,-0.0636,0.0214,-0.0479,0.0874,-0.0604,1.014
10001,8034,1,6,false,batch,true,wall,false,true,wall-blocked,0.986,0.800,0.0978,-0.1168,0.1566,0.0528,0.0635,-0.0664,1.014
10002,8034,2,6,false,batch,false,,false,false,,1.000,0.000,0.0097,-0.0237,0.0214,0.0061,0.0770,-0.0093,1.014
10003,8034,3,3,false,batch,false,,false,false,,1.000,0.000,-0.0700,0.0765,0.0214,-0.0431,0.0832,0.0653,1.014
10004,8034,4,5,false,batch,false,,false,false,,1.000,0.000,0.0579,0.0720,0.0214,0.0613,0.0697,0.0650,1.014
10000,8035,0,4,false,batch,false,,false,false,,0.970,0.000,-0.0974,-0.0527,0.0260,-0.0501,0.0872,-0.0506,1.483
10001,8035,1,2,false,batch,false,,false,false,,1.000,0.000,0.0725,-0.0379,0.0214,0.0600,0.0829,-0.0519,1.483
10002,8035,2,4,false,batch,false,,false,false,,1.000,0.000,0.0281,-0.0470,0.0214,0.0094,0.0811,0.0065,1.483
10003,8035,3,5,false,batch,false,,false,false,,1.000,0.000,-0.0527,0.0835,0.0214,-0.0460,0.0766,0.0504,1.483
10004,8035,4,6,false,batch,false,,false,false,,1.000,0.000,0.0458,0.0673,0.0214,0.0467,0.0557,0.0665,1.483
10000,8036,0,4,false,batch,false,,false,false,,1.000,0.000,-0.0674,-0.0866,0.0214,-0.0649,0.0807,-0.0651,0.849
10001,8036,1,5,false,batch,true,stacked|wall,false,true,wall-blocked,0.741,0.800,0.1057,-0.1015,0.1155,0.0473,0.0696,-0.0541,0.849
10002,8036,2,4,false,batch,false,,false,false,,1.000,0.000,0.0269,0.0310,0.0214,-0.0022,0.0610,-0.0057,0.849
10003,8036,3,5,false,batch,false,,false,false,,1.000,0.000,-0.0972,0.0870,0.0214,-0.0659,0.0791,0.0645,0.849
10004,8036,4,5,false,batch,true,stacked,false,false,,1.000,0.000,0.0224,0.0935,0.0214,0.0459,0.0831,0.0582,0.849
10000,8037,0,5,false,batch,true,wall,false,true,wall-blocked,0.715,0.800,-0.0999,-0.0760,0.0302,-0.0547,0.0749,-0.0633,0.433
10001,8037,1,6,false,batch,false,,false,false,,1.000,0.000,0.0352,-0.0393,0.0214,0.0509,0.0723,-0.0514,0.433
10002,8037,2,1,false,batch,true,stacked,false,false,,1.000,0.000,0.0876,-0.0062,0.0214,-0.0052,0.0520,-0.0024,0.433
10003,8037,3,4,false,batch,false,,false,false,,1.000,0.000,-0.0546,0.0517,0.0214,-0.0600,0.0825,0.0560,0.433
10004,8037,4,6,false,batch,false,,false,false,,1.000,0.000,0.0538,0.0366,0.0214,0.0513,0.0509,0.0479,0.433
10000,8038,0,2,false,batch,false,,false,false,,1.000,0.000,-0.0520,-0.0189,0.0214,-0.0515,0.0674,-0.0433,1.033
10001,8038,1,2,false,batch,true,wall,false,true,wall-blocked,0.801,0.800,0.1025,-0.0513,0.0350,0.0494,0.0747,-0.0622,1.033
10002,8038,2,5,false,batch,false,,false,false,,1.000,0.000,0.0819,-0.0847,0.0214,-0.0033,0.0519,-0.0046,1.033
10003,8038,3,2,false,batch,false,,false,false,,1.000,0.000,-0.0793,0.0831,0.0214,-0.0568,0.0707,0.0536,1.033
10004,8038,4,2,false,batch,false,,false,false,,1.000,0.000,0.0530,0.0634,0.0214,0.0522,0.0699,0.0600,1.033
10000,8039,0,2,false,batch,false,,false,false,,1.000,0.000,-0.0590,-0.0468,0.0214,-0.0529,0.0791,-0.0631,1.050
10001,8039,1,5,false,batch,true,stacked,false,false,,1.000,0.000,-0.0028,-0.0500,0.0214,0.0667,0.0783,-0.0466,1.050
10002,8039,2,1,false,batch,false,,false,false,,1.000,0.000,-0.0206,-0.0045,0.0214,0.0110,0.0875,0.0064,1.050
10003,8039,3,1,false,batch,false,,false,false,,0.959,0.000,-0.0932,0.0880,0.0266,-0.0468,0.0837,0.0656,1.050
10004,8039,4,2,false,batch,false,,false,false,,1.000,0.000,0.0974,0.0675,0.0214,0.0500,0.0728,0.0547,1.050
10000,8040,0,4,false,batch,true,stacked,false,false,,1.000,0.000,-0.0311,-0.0783,0.0214,-0.0526,0.0630,-0.0621,1.183
10001,8040,1,6,false,batch,false,,false,false,,0.992,0.000,0.0883,-0.0570,0.0240,0.0519,0.0692,-0.0521,1.183
10002,8040,2,2,false,batch,false,,false,false,,1.000,0.000,0.0078,0.0071,0.0214,-0.0028,0.0701,-0.0086,1.183
